종목코드,종목명,종가,대비,등락률,상장시가총액
"001500","현대차증권","12600","200","1.61","399578.0"
"001510","SK증권","998","21","2.15","471645.0"
"001520","동양","1475","35","2.43","352059.0"
"001630","종근당홀딩스","73600","300","0.41","368726.0"
"002020","코오롱","31500","1150","3.79","397732.0"
"002240","고려제강","19700","50","0.25","453100.0"
"002270","롯데푸드","348000","9500","2.81","420751.0"
"002310","아세아제지","51200","400","0.79","458573.0"
"002170","삼양통상","59100","600","1.03","177300.0"
"002210","동성제약","8220","50","0.61","214550.0"
"003560","IHQ","1530","45","3.03","223741.0"
"003570","SNT중공업","8970","130","1.47","298277.0"
"003610","방림","2585","35","1.37","109382.0"
"003650","미창석유","79300","600","0.76","137956.0"
"003830","대한화섬","125500","-500","-0.40","166664.0"
"003920","남양유업","419500","6500","1.57","302040.0"
"003960","사조대림","25900","850","3.39","237360.0"
"004060","SG세계물산","722","62","9.39","146151.0"
"004080","신흥","15900","100","0.63","151050.0"
"004090","한국석유","11000","250","2.33","139635.0"
"004140","동방","3795","5","0.13","151693.0"
"004150","한솔홀딩스","3510","100","2.93","147450.0"
"004250","NPC","6770","110","1.65","248594.0"
"004270","남성","3050","40","1.33","110447.0"
"004310","현대약품","5170","140","2.78","165440.0"
"004360","세방","11700","200","1.74","225912.0"
"004380","삼익THK","11300","50","0.44","237300.0"
"004410","서울식품","307","-8","-2.54","114301.0"
"004440","삼일씨엔에스","9280","600","6.91","118152.0"
"004540","깨끗한나라","4175","30","0.72","155480.0"
"004560","현대비앤지스틸","15450","-50","-0.32","232968.0"
"004710","한솔테크닉스","6670","600","9.88","214173.0"
"004720","팜젠사이언스","11550","400","3.59","169934.0"
"004770","써니전자","3145","120","3.97","109588.0"
"004830","덕성","16150","700","4.53","253232.0"
"004910","조광페인트","8250","100","1.23","105600.0"
"004960","한신공영","16350","350","2.19","189181.0"
"004970","신라교역","13400","200","1.52","214400.0"
"334890","이지스밸류리츠","5770","-10","-0.17","138480.0"
"350520","이지스레지던스리츠","5340","40","0.75","110004.0"
"400760","NH올원리츠","5270","-10","-0.19","222394.0"
"000140","하이트진로홀딩스","12500","200","1.63","290085.0"
"000180","성창기업지주","2370","40","1.72","165311.0"
"000220","유유제약","8010","1250","18.49","138031.0"
"000230","일동홀딩스","13950","100","0.72","160989.0"
"000300","대유플러스","1350","35","2.66","163348.0"
"000320","노루홀딩스","12050","250","2.12","160158.0"
"000390","삼화페인트","8750","280","3.31","238030.0"
"000430","대원강업","3700","5","0.14","229400.0"
"000490","대동","9480","110","1.17","224943.0"
"000540","흥국화재","3690","125","3.51","237055.0"
"000680","LS네트웍스","2960","60","2.07","233257.0"
"000700","유수홀딩스","6120","80","1.32","159376.0"
"000860","강남제비스코","22050","400","1.85","143325.0"
"000890","보해양조","887","4","0.45","122419.0"
"000970","한국주철관","8790","100","1.15","200416.0"
"001070","대한방직","46400","100","0.22","245920.0"
"001130","대한제분","153000","3500","2.34","258570.0"
"001250","GS글로벌","2270","15","0.67","187352.0"
"001260","남광토건","12200","350","2.95","119913.0"
"001270","부국증권","24400","150","0.62","253025.0"
"001290","상상인증권","1130","10","0.89","110182.0"
"001340","백광산업","5410","90","1.69","243009.0"
"001460","BYC","437500","20000","4.79","273269.0"
"001470","삼부토건","2190","145","7.09","301248.0"
"001550","조비","20850","600","2.96","108258.0"
"001570","금양","4775","35","0.74","233049.0"
"001750","한양증권","15300","400","2.68","194747.0"
"001780","알루코","3370","20","0.60","302596.0"
"001790","대한제당","3120","-5","-0.16","279853.0"
"001940","KISCO홀딩스","15050","500","3.44","278070.0"
"002030","아세아","126000","2000","1.61","276069.0"
"002100","경농","11500","350","3.14","224510.0"
"002150","도화엔지니어링","7610","130","1.74","256609.0"
"025000","KPX케미칼","54700","700","1.30","264748.0"
"004980","성신양회","11600","400","3.57","284386.0"
"005010","휴스틸","14950","200","1.36","117172.0"
"005320","국동","2650","50","1.92","144167.0"
"005430","한국공항","41850","850","2.07","132512.0"
"005680","삼영전자","10850","150","1.40","217000.0"
"005720","넥센","4605","55","1.21","246570.0"
"005740","크라운해태홀딩스","8340","170","2.08","123827.0"
"005750","대림B&Co","7190","-10","-0.14","119873.0"
"005810","풍산홀딩스","28250","550","1.99","294069.0"
"006110","삼아알미늄","27400","300","1.11","301400.0"
"006220","제주은행","5390","100","1.89","173174.0"
"006340","대원전선","1680","10","0.60","119309.0"
"006370","대구백화점","10200","200","2.00","110380.0"
"006380","카프로","3900","40","1.04","156000.0"
"006660","삼성공조","15950","650","4.25","129615.0"
"006740","영풍제지","7100","-170","-2.34","157620.0"
"006840","AK홀딩스","20450","1050","5.41","270913.0"
"006890","태경케미컬","12300","250","2.07","142680.0"
"007110","일신석재","2260","80","3.67","175052.0"
"007160","사조산업","45250","1350","3.08","226250.0"
"007210","벽산","3210","45","1.42","220078.0"
"007280","한국특강","2930","25","0.86","156000.0"
"007460","에이프로젠 MED","1505","50","3.44","299729.0"
"007540","샘표","40650","1000","2.52","116901.0"
"007660","이수페타시스","5000","-130","-2.53","316232.0"
"007860","서연","12700","500","4.10","298194.0"
"007980","태평양물산","2380","135","6.01","114596.0"
"008040","사조동아원","1115","20","1.83","157376.0"
"008060","대덕","7450","90","1.22","252482.0"
"008250","이건산업","11800","400","3.51","129241.0"
"008350","남선알미늄","2535","75","3.05","279304.0"
"008600","윌비스","1665","80","5.05","109510.0"
"008700","아남전자","2290","30","1.33","176616.0"
"008970","동양철관","1290","50","4.03","153362.0"
"009070","KCTC","5880","60","1.03","176400.0"
"009180","한솔로지스틱스","3920","30","0.77","107712.0"
"009190","대양금속","4880","265","5.74","153987.0"
"009270","신원","2740","135","5.18","261859.0"
"009320","대우부품","2425","10","0.41","115542.0"
"009460","한창제지","2040","0","0.00","121722.0"
"009470","삼화전기","30400","450","1.50","201060.0"
"009580","무림P&P","4205","255","6.46","262259.0"
"009810","플레이그램","2365","160","7.26","212181.0"
"002390","한독","22100","350","1.61","304174.0"
"002410","범양건영","6390","50","0.79","158676.0"
"002450","삼익악기","1755","15","0.86","158882.0"
"002460","화성산업","11700","150","1.30","145674.0"
"002600","조흥","189000","3500","1.89","113400.0"
"002620","제일파마홀딩스","15450","350","2.32","246788.0"
"002630","오리엔트바이오","1205","10","0.84","142893.0"
"002700","신일전자","2015","5","0.25","143161.0"
"002710","TCC스틸","6980","230","3.41","164030.0"
"002760","보락","1975","40","2.07","118303.0"
"002780","진흥기업","2085","50","2.46","303309.0"
"002810","삼영무역","14450","100","0.70","266847.0"
"002880","대유에이텍","1340","20","1.52","149895.0"
"002900","TYM","1740","60","3.57","263661.0"
"003120","일성신약","72500","300","0.42","192850.0"
"003160","디아이","8060","210","2.68","253864.0"
"003200","일신방직","103000","2000","1.98","247200.0"
"003350","한국화장품제조","26200","1000","3.97","118738.0"
"003460","유화증권","2765","20","0.73","156782.0"
"003480","한진중공업홀딩스","3960","100","2.59","116938.0"
"039570","HDC아이콘트롤스","12000","250","2.13","197520.0"
"044450","KSS해운","11450","0","0.00","265478.0"
"044820","코스맥스비티아이","13750","200","1.48","132054.0"
"047400","유니온머티리얼","2885","45","1.58","121170.0"
"053690","한미글로벌","11250","-50","-0.44","123272.0"
"058850","KTcs","2505","35","1.42","106926.0"
"063160","종근당바이오","38500","1650","4.48","211210.0"
"067830","세이브존I&C","2940","60","2.08","120660.0"
"069460","대호에이엘","3675","-60","-1.61","183179.0"
"070960","용평리조트","5030","220","4.57","242111.0"
"071970","STX중공업","4580","0","0.00","129916.0"
"074610","이엔플러스","3090","20","0.65","158681.0"
"077500","유니퀘스트","10050","260","2.66","274722.0"
"077970","STX엔진","9930","100","1.02","228478.0"
"078000","텔코웨어","11150","50","0.45","108185.0"
"078520","에이블씨엔씨","6310","-10","-0.16","170581.0"
"079430","현대리바트","14750","650","4.61","302895.0"
"079980","휴비스","8370","200","2.45","288765.0"
"083420","그린케미칼","8790","160","1.85","210960.0"
"010040","한국내화","3455","95","2.83","141887.0"
"010690","화신","8150","110","1.37","284601.0"
"010960","삼호개발","4890","105","2.19","122250.0"
"011090","에넥스","2525","10","0.40","151479.0"
"011150","CJ씨푸드","3775","175","4.86","135639.0"
"011280","태림포장","4455","-10","-0.22","315440.0"
"011390","부산산업","102500","2900","2.91","108240.0"
"011500","한농화성","16150","0","0.00","252538.0"
"011700","한신기계","3760","5","0.13","121998.0"
"011760","현대코퍼레이션","16150","600","3.86","213648.0"
"011810","STX","3940","30","0.77","112769.0"
"012030","DB","968","13","1.36","194736.0"
"012170","아센디오","1515","80","5.57","121971.0"
"012200","계양전기","3985","75","1.92","129911.0"
"012610","경인양행","6230","90","1.47","259021.0"
"012690","모나리자","3775","75","2.03","138056.0"
"012800","대창","1760","40","2.33","160407.0"
"013570","디와이","6400","-30","-0.47","168446.0"
"013580","계룡건설","34350","400","1.18","306777.0"
"013870","지엠비코리아","5770","20","0.35","110047.0"
"014160","대영포장","2665","-85","-3.09","288871.0"
"014280","금강공업","8000","10","0.13","234635.0"
"014530","극동유화","3650","90","2.53","127273.0"
"014580","태경비케이","4975","165","3.43","137226.0"
"014790","한라","5350","30","0.56","202544.0"
"015020","이스타코","3090","-10","-0.32","132411.0"
"015230","대창단조","7540","120","1.62","107717.0"
"015360","예스코홀딩스","36700","550","1.52","220200.0"
"015860","일진홀딩스","5400","80","1.50","266476.0"
"015890","태경산업","6940","20","0.29","202848.0"
"016450","한세예스24홀딩스","7290","160","2.24","291600.0"
"016610","DB금융투자","6880","140","2.08","292031.0"
"016740","두올","3890","10","0.26","128629.0"
"016880","웅진","1830","65","3.68","146267.0"
"017040","광명전기","2500","55","2.25","108344.0"
"017180","명문제약","4550","50","1.11","154488.0"
"017550","수산중공업","2600","110","4.42","140361.0"
"017900","광전자","3100","100","3.33","179626.0"
"018470","조일알미늄","2125","45","2.16","218092.0"
"019440","세아특수강","16050","400","2.56","137549.0"
"023000","삼원강재","3160","70","2.27","126400.0"
"023450","동남합성","62600","300","0.48","225986.0"
"023800","인지컨트롤스","14200","-50","-0.35","215274.0"
"023810","인팩","11600","-150","-1.28","116000.0"
"024890","대원화성","3815","85","2.28","157366.0"
"227840","현대코퍼레이션홀딩스","11800","250","2.16","107390.0"
"229640","LS전선아시아","7750","20","0.26","237343.0"
"234080","JW생명과학","15100","1100","7.86","239102.0"
"244920","에이플러스에셋","9200","120","1.32","207991.0"
"248170","샘표식품","42900","600","1.42","195979.0"
"264900","크라운제과","9090","60","0.66","113842.0"
"267290","경동도시가스","22200","350","1.60","130878.0"
"267850","아시아나IDT","16750","550","3.40","185925.0"
"282690","동아타이어","12350","100","0.82","169603.0"
"306200","세아제강","97600","2200","2.31","276823.0"
"308170","센트랄모텍","21900","300","1.39","188559.0"
"322000","현대에너지솔루션","20300","0","0.00","227360.0"
"372910","한컴라이프케어","7990","-300","-3.62","221119.0"
"380440","엔에이치스팩19호","2075","-10","-0.48","106427.0"
"084680","이월드","2095","70","3.46","297084.0"
"089470","HDC현대EP","5550","80","1.46","177045.0"
"090350","노루페인트","9990","210","2.15","199800.0"
"091090","세원이앤씨","1315","80","6.48","191346.0"
"092200","디아이씨","4225","85","2.05","164304.0"
"092230","KPX홀딩스","65300","2400","3.82","275869.0"
"092440","기신정기","4175","95","2.33","121910.0"
"093230","이아이디","319","10","3.24","300091.0"
"093240","형지엘리트","3730","-10","-0.27","116207.0"
"094280","효성ITX","20200","450","2.28","233476.0"
"095570","AJ네트웍스","5320","30","0.57","249095.0"
"096760","JW홀딩스","3420","115","3.48","234069.0"
"100250","진양홀딩스","3675","15","0.41","205415.0"
"100840","SNT에너지","18800","-50","-0.27","141126.0"
"101060","SBS미디어홀딩스","1860","30","1.64","260207.0"
"101140","인바이오젠","4390","-10","-0.23","226355.0"
"101530","해태제과식품","7960","170","2.18","231770.0"
"102260","동성케미컬","5070","115","2.32","251927.0"
"102280","쌍방울","942","-33","-3.38","247362.0"
"103590","일진전기","4885","65","1.35","181138.0"
"105840","우진","8280","-50","-0.60","168280.0"
"117580","대성에너지","7600","50","0.66","209000.0"
"118000","우리들휴브레인","1465","0","0.00","119139.0"
"120030","조선선재","103000","1000","0.98","129538.0"
"123690","한국화장품","8680","200","2.36","139470.0"
"128820","대성산업","4190","105","2.57","189537.0"
"134380","미원화학","78000","-200","-0.26","171543.0"
"134790","시디즈","59800","900","1.53","119600.0"
"136490","선진","11350","400","3.65","269899.0"
"143210","핸즈코퍼레이션","4890","65","1.35","106911.0"
"194370","제이에스코퍼레이션","20800","500","2.46","277381.0"
"200880","서연이화","6730","110","1.66","181901.0"
"210540","디와이파워","12700","250","2.01","140230.0"
"214390","경보제약","8850","260","3.03","211576.0"
"025750","한솔홈데코","1645","40","2.49","132530.0"
"025820","이구산업","3320","25","0.76","111027.0"
"028100","동아지질","17150","500","3.00","197225.0"
"029460","케이씨","22050","100","0.46","298867.0"
"031820","콤텍시스템","901","14","1.58","109067.0"
"032560","황금에스티","8480","160","1.92","135680.0"
"033530","세종공업","8950","30","0.34","248998.0"
"033920","무학","8380","150","1.82","238830.0"
"034300","신세계건설","32500","-50","-0.15","130000.0"
"034590","인천도시가스","27750","350","1.28","121399.0"
"035000","지투알","6750","30","0.45","111830.0"
"035150","백산","8020","290","3.75","194084.0"
"035510","신세계 I&C","180000","4500","2.56","309600.0"
"036530","SNT홀딩스","17450","250","1.45","284503.0"
"036580","팜스코","5960","130","2.23","218899.0"
"037710","광주신세계","175500","500","0.29","280800.0"
"058860","KTis","2455","40","1.66","85439.0"
"069640","한세엠케이","4240","95","2.29","54736.0"
"069730","DSR제강","4595","115","2.57","66168.0"
"071090","하이스틸","2825","150","5.61","56498.0"
"071950","코아스","1105","15","1.38","34152.0"
"072130","유엔젤","5150","160","3.21","67957.0"
"075180","새론오토모티브","5330","-100","-1.84","102336.0"
"084670","동양고속","18200","450","2.54","52699.0"
"084870","TBH글로벌","2390","65","2.80","49848.0"
"085310","엔케이","1020","15","1.49","81583.0"
"088790","진도","2770","95","3.55","34480.0"
"090080","평화산업","1770","5","0.28","97177.0"
"090370","메타랩스","944","19","2.05","62621.0"
"092780","동양피스톤","6420","220","3.55","84542.0"
"100220","비상교육","7750","-50","-0.64","100725.0"
"109070","컨버즈","4100","0","0.00","71952.0"
"111110","호전실업","10750","500","4.88","101367.0"
"119650","KC코트렐","5960","110","1.88","104896.0"
"123700","SJM","4375","80","1.86","68271.0"
"129260","인터지스","3480","65","1.90","103523.0"
"133820","화인베스틸","2960","0","0.00","87468.0"
"145210","다이나믹디자인","476","0","0.00","75346.0"
"155660","DSR","5360","100","1.90","85760.0"
"163560","동일고무벨트","7220","150","2.12","100358.0"
"214420","토니모리","5620","70","1.26","103317.0"
"378850","화승알앤에이","5250","-50","-0.94","99717.0"
"008420","문배철강","3750","40","1.08","76888.0"
"008500","일정실업","27400","1600","6.20","32880.0"
"008870","금비","61400","1400","2.33","61400.0"
"009140","경인전자","29600","-100","-0.34","46496.0"
"009200","무림페이퍼","2490","55","2.26","103607.0"
"009310","참엔지니어링","1175","20","1.73","65246.0"
"009440","KC그린홀딩스","4345","65","1.52","97480.0"
"009770","삼정펄프","27450","650","2.43","68624.0"
"010100","한국프랜지","2650","90","3.52","80694.0"
"010400","우진아이엔에스","6930","140","2.06","52820.0"
"010420","한솔PNS","1925","45","2.39","39449.0"
"010580","지코","1530","0","0.00","100211.0"
"010600","웰바이오텍","1600","35","2.24","93884.0"
"010640","진양폴리","4660","35","0.76","46600.0"
"010660","화천기계","2395","45","1.91","52690.0"
"010770","평화홀딩스","4550","170","3.88","66546.0"
"010820","퍼스텍","2055","10","0.49","98766.0"
"011230","삼화전자","4015","-35","-0.86","41989.0"
"011300","성안","787","0","0.00","44747.0"
"011330","유니켐","1270","25","2.01","92314.0"
"011420","갤럭시아에스엠","2945","325","12.40","81134.0"
"012160","영흥","1030","10","0.98","104350.0"
"012280","영화금속","1550","20","1.31","82761.0"
"012320","경동인베스트","34750","550","1.61","82185.0"
"012600","센트럴인사이트","2490","0","0.00","33839.0"
"013000","세우글로벌","1830","45","2.52","52530.0"
"013520","화승코퍼레이션","2100","45","2.19","105108.0"
"013700","까뮤이앤씨","2060","40","1.98","93014.0"
"014130","한익스프레스","5620","0","0.00","67440.0"
"014440","영보화학","4665","15","0.32","93300.0"
"014710","사조씨푸드","5400","280","5.47","92980.0"
"014910","성문전자","2390","50","2.14","46574.0"
"014990","인디에프","1360","40","3.03","80149.0"
"015260","에이엔피","2065","65","3.25","46125.0"
"015540","쎌마테라퓨틱스","6410","0","0.00","86229.0"
"015590","큐로","451","0","0.00","104276.0"
"016090","대현","2240","80","3.70","99192.0"
"017370","우신시스템","4075","125","3.16","74630.0"
"018500","동원금속","889","16","1.83","41565.0"
"019180","티에이치엔","4020","65","1.64","72360.0"
"019490","하이트론","5010","270","5.70","36680.0"
"020760","일진디스플","2790","40","1.45","96167.0"
"021050","서원","1915","55","2.96","90914.0"
"021820","세원정공","8090","0","0.00","80900.0"
"023150","MH에탄올","9700","90","0.94","71572.0"
"023350","한국종합기술","6810","70","1.04","74570.0"
"023960","에쓰씨엔지니어링","3360","290","9.45","100802.0"
"024070","WISCOM","3450","65","1.92","52876.0"
"024900","덕양산업","3205","0","0.00","104371.0"
"025530","SJM홀딩스","3380","35","1.05","50477.0"
"025560","미래산업","13550","550","4.23","60325.0"
"025620","제이준코스메틱","949","43","4.75","70627.0"
"025890","한국주강","8150","930","12.88","92170.0"
"026940","부국철강","4090","140","3.54","81800.0"
"027740","마니커","1440","-5","-0.35","57160.0"
"027970","세하","1700","30","1.80","97857.0"
"030720","동원수산","9330","70","0.76","43420.0"
"030790","비케이탑스","2780","55","2.02","41970.0"
"033250","체시스","1255","25","2.03","40160.0"
"041650","상신브레이크","3825","10","0.26","82128.0"
"044380","주연테크","1170","30","2.63","63896.0"
"049800","우진플라임","4405","40","0.92","88100.0"
"051630","진양화학","4640","-30","-0.64","55680.0"
"058730","다스코","4835","25","0.52","81598.0"
"140910","에이리츠","9000","230","2.62","37957.0"
"145270","케이탑리츠","1420","10","0.71","65638.0"
"204210","모두투어리츠","4300","200","4.88","33655.0"
"338100","NH프라임리츠","4810","5","0.10","89755.0"
"357250","미래에셋맵스리츠","4970","10","0.20","99897.0"
"153360","하이골드3호","2590","20","0.78","41828.0"
"155900","바다로19호","2975","10","0.34","45220.0"
"172580","하이골드12호","2765","5","0.18","36068.0"
"000040","KR모터스","892","-1","-0.11","85755.0"
"000500","가온전선","24950","1050","4.39","103801.0"
"000520","삼일제약","7740","30","0.39","104779.0"
"000590","CS홀딩스","61300","100","0.16","70770.0"
"000650","천일고속","64500","500","0.78","92185.0"
"000760","이화산업","15400","350","2.33","43120.0"
"000850","화천기공","33800","400","1.20","74360.0"
"000910","유니온","6490","20","0.31","101319.0"
"000950","전방","39100","1800","4.83","65688.0"
"001020","페이퍼코리아","1535","0","0.00","62782.0"
"001080","만호제강","21650","0","0.00","89848.0"
"001140","국보","1620","0","0.00","104539.0"
"001210","금호전기","3270","60","1.87","62740.0"
"001380","SG글로벌","1790","35","1.99","80486.0"
"001420","태원물산","5370","10","0.19","40812.0"
"001560","제일연마","8910","-20","-0.22","89100.0"
"001620","케이비아이동국실업","818","4","0.49","71344.0"
"001770","SHD","28300","900","3.28","34381.0"
"002070","비비안","3065","0","0.00","91319.0"
"002140","고려산업","2840","100","3.65","70828.0"
"002200","한국수출포장","25500","300","1.19","102000.0"
"002220","한일철강","2770","135","5.12","73952.0"
"002360","SH에너지화학","916","15","1.66","101798.0"
"002420","세기상사","6160","0","0.00","25108.0"
"002690","동일제강","2825","45","1.62","57349.0"
"002720","국제약품","5300","120","2.32","102163.0"
"002820","SUN&L","4900","100","2.08","61779.0"
"002870","신풍제지","2265","-20","-0.88","79181.0"
"002920","유성기업","3015","25","0.84","78232.0"
"003010","혜인","5370","150","2.87","68267.0"
"003080","성보화학","3940","50","1.29","78879.0"
"003680","한성기업","6000","220","3.81","37257.0"
"003720","삼영화학","2890","90","3.21","98260.0"
"003780","진양산업","8110","-310","-3.68","105430.0"
"004100","태양금속","1355","25","1.88","49729.0"
"004450","삼화왕관","41300","-300","-0.72","88976.0"
"004840","DRB동일","5150","180","3.62","102640.0"
"004870","티웨이홀딩스","888","-26","-2.84","68795.0"
"004920","씨아이테크","1245","285","29.69","49740.0"
"005030","부산주공","639","20","3.23","36327.0"
"005110","한창","1140","30","2.70","76141.0"
"005360","모나미","4245","105","2.54","80219.0"
"005800","신영와코루","117000","0","0.00","105300.0"
"005820","원림","19250","500","2.67","44236.0"
"005870","휴니드","6990","50","0.72","98671.0"
"006090","사조오양","9190","210","2.34","86595.0"
"006200","한국전자홀딩스","2225","45","2.06","104137.0"
"006570","대림통상","3380","295","9.56","51461.0"
"006880","신송홀딩스","5300","130","2.51","62693.0"
"006980","우성","26900","450","1.70","83121.0"
"007120","미래아이앤지","466","6","1.30","60340.0"
"007590","동방아그로","6980","60","0.87","95051.0"
"007610","선도전기","3655","90","2.52","65790.0"
"007630","폴루스바이오팜","1225","0","0.00","55134.0"
"008110","대동전자","8520","60","0.71","89379.0"
"008260","NI스틸","3400","75","2.26","97240.0"